Question,Answer
"Qu'est ce que la ""Batterie Neuve""?","La batterie neuve est à 18,75€ pour les iPhone de génération inférieure au 8 plus et à 29€ pour ceux de génération supérieures au 8 plus. Cette option permet de recevoir un appareil avec une batterie neuve posée par nos équipes, garantie 12 mois.

 

L'option est proposée au moment de l'achat de votre appareil. A ce jour, nous sommes les seuls en Europe à être en mesure de vous proposer cette option.

 

La batterie est changée spécifiquement pour vous, dans nos ateliers juste avant l'expédition. Cela peut retarder la livraison de 24h.

 

64% de nos clients l'ont acheté, 98% le recommandent !

 

Si vous souhaitez vérifier que le changement de batterie a bien eu lieu (Lenine disait bien que ""la confiance n'exclut pas le contrôle""), c'est très simple:

 

Si vous avez commandé un modèle inférieur à l'iPhone 8:

Allez dans Réglages=> Batterie=> état de la batterie: cette dernière affichera un état de 100 ou 98%

 

Si vous avez commandé un modèle supérieur ou égal à l'iPhone X :

Vous avez iOS 14 ou inférieur: allez dans Réglages=> Batterie=> état de la batterie : cette dernière affichera un état de 100 ou 98%

 

Vous avez iOS 14 et un modèle supérieur ou égal à l'iPhone X :

Apple a malheureusement désactivé l'affichage de l'état de la batterie si cette dernière a été changée hors de l'Apple Store (ce qui est le cas pour votre téléphone). Vous verrez donc un message affichant ""réparation"" puis un message expliquant que l'iPhone ne peut donner la capacité de la batterie car cette dernière a été changée hors Apple Store.

Il existe énormément de logiciels permettant de contrôler le niveau de la batterie. Nous conseillons le logiciel 3utool, disponible sur mac et PC sur le lien suivant ""http://www.3u.com"". Itunes doit être préalablement installé sur votre ordinateur."
Quels accessoires sont inclus avec mon smartphone et sont-ils d'origine ?,"Tous nos smartphones sont vendus avec l'accessoire adapté, à savoir : un cÀble et un extracteur de carte SIM. Ces produits sont neufs, pleinement compatibles et aux normes CE. Afin de lutter contre les déchets électroniques, les écouteurs ainsi que la prise murale ne sont plus fournis. 


Si vous souhaitez plus d'accessoires, Certideal vous permet d'acheter en extra la prise murale, des écouteurs, une coque et une vitre en verre trempé que notre équipe posera directement sur votre smartphone avant son expédition. "
L'appareil est-il vendu dans son emballage d'origine ?,"Chaque appareil est vendu dans un emballage Certideal, avec son kit d'accessoires aux normes CE. Le packaging offre toutes les garanties de solidité nécessaires pour la livraison et est très apprécié de nos membres pour son design."
Quel est l'état des batteries des smartphones de Certideal ?,"Toutes les batteries sont testées, vérifiées et certifiées par les experts CertiDeal. 

Nous garantissons un minimum de 80% de capacité originale à réception, quel que soit l'état choisi.

 

Les batteries sont des consommables, c'est pourquoi elle sont garanties 3 mois. 

 

Nous proposons une option entre 18,75 et 29€ selon le modèle, qui vous permet de vous garantir d'obtenir une  batterie neuve sur l'appareil, garantie 12 mois. 

 

L'option est proposée au moment de l'achat de votre appareil. A ce jour, nous sommes les seuls en Europe à être en mesure de vous proposer cette option.

 

La batterie est changée spécifiquement pour vous, dans nos ateliers juste après l'expédition. Cela peut retarder la livraison de 24h. Si vous souhaitez contrôler le niveau de batterie (Lenine disait bien que ""la confiance n'exclut pas le contrôle""), c'est très simple:

 

Si vous avez commandé un modèle inférieur à l'iPhone 8:

Allez dans Réglages=> Batterie=> état de la batterie: cette dernière affichera un état de 100 ou 99%

 

Si vous avez commandé un modèle supérieur ou égal à l'iPhone X :

Vous avez iOS 13 ou inférieur: allez dans Réglages=> Batterie=> état de la batterie : cette dernière affichera un état de 100 ou 99%

 

Vous avez iOS 14 et un modèle supérieur ou égal à l'iPhone X :

Apple a malheureusement désactivé l'affichage de l'état de la batterie si cette dernière a été changée hors de l'Apple Store (ce qui est le cas pour votre téléphone). Vous verrez donc un message affichant ""réparation"" puis un message expliquant que l'iPhone ne peut donner la capacité de la batterie car cette dernière a été changée hors Apple Store.

Il existe énormément de logiciels permettant de contrôler le niveau de la batterie. Nous conseillons le logiciel 3utool, disponible sur PC sur le lien suivant ""http://www.3u.com"". Itunes doit être préalablement installé sur votre ordinateur. Pour les utilisateurs de Mac, nous recommandons le logiciel cocohut battery, disponible à cette adresse: ""https://coconut-flavour.com/coconutbattery/"""
"Qu'est-ce que la catégorie ""Les Imparfaits"" ?","Les Imparfaits, c'est une gamme de smartphones fonctionnels mais présentant néanmoins un défaut. Vous ne vous servez pas de votre Touch ID ? Pourquoi alors ne pas acheter un smartphone qui n'a pas cette fonctionnalité, s'il est vendu encore moins cher qu'un smartphone reconditionné classique ? Et ce, d'autant plus que ce produit a été testé par les experts Certideal comme tous nos smartphones et qu'au-delà de son défaut, il est certifié fonctionnel. 

 

Pour un iPhone 7 32 Go, la remise peut être de plus de 60? si le touch ID vous importe peu. Vous êtes nostalgique de votre ancien iPod ? Ce n'est rien d'autre qu'un iPhone qui ne capte pas le réseau. Dans ce cas là, le produit est vendu jusqu'à 50 % moins cher que l'équivalent reconditionné.

 

Avec les Imparfaits, vous savez ce que vous achetez : le défaut est clairement indiqué sur la fiche produit et la catégorie les Imparfaits est distincte du reste du site. Ces produits ne se mélangeront donc jamais avec les produits 100% fonctionnels proposés par Certideal. La garantie est également de 24 mois sur ces appareils :)"
Quelles sont les différences entre les états esthétiques ?,"Tous les smartphones de CertiDeal, quel que soit l'état, sont certifiés 100 % fonctionnels et débloqués. De même, notre garantie s'applique dans les mêmes conditions et sur la même durée aux produits de tous états. Les différences entre les états se situent donc sur le plan esthétique : rayures sur la coque ou sur l'écran... 

 

Tous nos smartphones sont livrés avec un cable de chargement et un extracteur de carte SIM. L'état esthétique est revérifié par sécurité lors de l'expédition. Très rarement, l'équipe d'expédition infirme l'avis du testeur et cela peut entraîner un retard de quelques jours. C'est notre ""double vérification"".
​
Depuis le 24/10, nous avons changé nos grades esthétiques afin de vous proposer une qualité encore meilleure pour vos appareils reconditionnés. Désormais, Nos deux états Parfait état et Premium incluent uniquement des smartphones avec écran certifié d'origine. Pour plus de détails, voici un descriptif esthétique de chaque état proposé par Certideal :

 

Premium : 

Écran : 100 % Garanti d'origine Apple (Exclusivité CertiDeal). Qualité Impeccable (seulement 5 % de nos téléphones ont un grade premium)

Coque : Peut présenter des micro-rayures à peine visibles (invisibles à 20 cm).

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel.​

Parfait état : 

Écran : 100 % Garanti d'origine Apple (Exclu CertiDeal). Il peut présenter des micro-rayures superficielles, invisibles une fois l'écran allumé.

Coque : Peut présenter des micro-rayures, visibles à 20 cm.

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel.

Très bon état : 

Écran : Présente des micro-rayures, invisibles une fois l'écran allumé.

Coque : Peut présenter des micro-rayures, visibles à 20 cm.

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel. 

Correct :

Écran : Micro-rayures visibles et à peine visibles une fois l’écran allumé.

Coque : Rayures ou impacts visibles.

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel."
"Qu'est-ce que la ""Garantie bris de glace"" ?","La Garantie bris de glace est une option proposée par CertiDeal en cas de casse de votre écran.

 

Si vous brisez votre écran, nous prenons en charge le changement d'écran dans nos ateliers sans frais supplémentaires.

 

La garantie bris de glace est valable à usage unique sur une durée de 12 mois, et assure une sérénité quant à l'utilisation de votre smartphone.

 

À titre informatif, un écran est habituellement facturé entre 151 et 361 euros en fonction des modèles (tarif Apple en vigueur 2020). L'objectif de CertiDeal est de vous accompagner au meilleur prix avec le meilleur service.

 

Elle est proposée sur certains modèles d'iPhone : de l'iPhone 5 à l'iPhone XS Max.

 

La casse du bouton home n'est pas couverte par la garantie bris de glace."
Quelle garantie fournissez-vous sur les produits ?,"Nous offrons à nos clients 24 mois de garantie sur la grande majorité des produits disponibles sur Certideal. En cas de panne, Certideal est l'unique interlocuteur ! Nos locaux sont basés en France. Nous prenons en charge le diagnostic, la réparation ou le remplacement de l'appareil selon le souci constaté, ainsi que les frais d'envois du renvoi de l'appareil. 

 

La garantie couvre l'intégralité des pannes techniques du téléphone, en dehors de la casse et de l'oxydation. 

 

La batterie est un consommable et son usure dépendra de l'usage que vous ferez de votre smartphone. Nous garantissons un minimum de 80% de capacité originale à réception.

Vous avez 3 mois pour remonter un quelconque souci de batterie et ainsi la faire changer.

 

Il existe l'option Batterie neuve : nous changeons la batterie de votre appareil. Nous sommes les seuls à proposer cette option. Vous trouverez plus d'information sur cet article : https://intercom.help/abonnes-free/fr/articles/6240939-quel-est-l-etat-des-batteries-des-smartphones-de-certideal"
Comment testez-vous vos produits ?,"La certification est le coeur de métier de Certideal. Après réception dans notre atelier, chaque smartphone est testé individuellement par nos experts sur 30 points de contrôle : capacité de la batterie, qualité de l'appel téléphonique, appareil photo, Bluetooth. Seuls les appareils qui valident l'intégralité de cette batterie de tests sont mis en vente sur notre site. Acheter un produit sur Certideal, c'est donc avoir l'assurance qu'il est 100 % fonctionnel."
"Qu'est ce que le ""Pack zen"" ?","Le pack zen contient une vitre en verre trempée ainsi qu'une coque de protection.

La vitre est en verre trempée, d'une épaisseur de 3 mm, directement posée sur votre smartphone par nos préparateurs de commandes.

La coque est en silicone, souple et transparente.


Ce pack permet de protéger votre appareil en cas choc, et de limiter la casse


72% de clients l'ont acheté, 96% le recommandent"
